"Month","Day","Precip","AnnPpt","MeanTemp","DOY","PAR","VPD","Evap","SoilTemp","runNum","Site","Tmax"
1,30,0.018,25,-1.588,30,25.013,0.147,0.539,0,1,"HighLat",12
1,31,0,25,-1.588,31,42.034,0.147,0.543,0,1,"HighLat",12
2,1,0,25,2.176,32,42.386,0.536,0.553,2.176,1,"HighLat",12
2,2,0,25,2.176,33,42.745,0.536,0.558,2.176,1,"HighLat",12
2,3,0,25,2.176,34,43.11,0.536,0.563,2.176,1,"HighLat",12
2,4,0.05,25,2.176,35,26.089,0.536,0.568,2.176,1,"HighLat",12
2,5,0,25,2.176,36,43.859,0.536,0.573,2.176,1,"HighLat",12
2,6,0.029,25,2.176,37,26.545,0.536,0.578,2.176,1,"HighLat",12
2,7,0,25,2.176,38,44.631,0.536,0.583,2.176,1,"HighLat",12
2,8,0.36,25,2.176,39,27.015,0.536,0.588,2.176,1,"HighLat",12
2,9,0,25,2.176,40,45.426,0.536,0.593,2.176,1,"HighLat",12
2,10,0,25,2.176,41,45.831,0.536,0.598,2.176,1,"HighLat",12
2,11,0.144,25,2.176,42,27.745,0.536,0.604,2.176,1,"HighLat",12
2,12,0.164,25,2.176,43,27.994,0.536,0.609,2.176,1,"HighLat",12
2,13,0,25,2.176,44,47.076,0.536,0.615,2.176,1,"HighLat",12
2,14,0.019,25,2.176,45,28.5,0.536,0.62,2.176,1,"HighLat",12
2,15,0.076,25,2.176,46,28.757,0.536,0.626,2.176,1,"HighLat",12
2,16,0,25,2.176,47,48.362,0.536,0.631,2.176,1,"HighLat",12
2,17,0,25,2.176,48,48.799,0.536,0.637,2.176,1,"HighLat",12
2,18,0,25,2.176,49,49.24,0.536,0.643,2.176,1,"HighLat",12
2,19,0,25,2.176,50,49.684,0.536,0.649,2.176,1,"HighLat",12
2,20,0.222,25,2.176,51,30.079,0.536,0.654,2.176,1,"HighLat",12
2,21,0.206,25,2.176,52,30.35,0.536,0.66,2.176,1,"HighLat",12
2,22,0.105,25,2.176,53,30.623,0.536,0.666,2.176,1,"HighLat",12
2,23,0.084,25,2.176,54,30.897,0.536,0.672,2.176,1,"HighLat",12
2,24,0.057,25,2.176,55,31.173,0.536,0.678,2.176,1,"HighLat",12
2,25,0,25,2.176,56,52.418,0.536,0.684,2.176,1,"HighLat",12
2,26,0.055,25,2.176,57,31.729,0.536,0.69,2.176,1,"HighLat",12
2,27,0.057,25,2.176,58,32.01,0.536,0.696,2.176,1,"HighLat",12
2,28,0,25,2.176,59,53.818,0.536,0.703,2.176,1,"HighLat",12
3,1,0,25,5.599,60,54.289,0.89,0.714,5.599,1,"HighLat",12
3,2,0,25,5.599,61,54.761,0.89,0.72,5.599,1,"HighLat",12
3,3,0.022,25,5.599,62,33.141,0.89,0.727,5.599,1,"HighLat",12
3,4,0.012,25,5.599,63,33.426,0.89,0.733,5.599,1,"HighLat",12
3,5,0,25,5.599,64,56.185,0.89,0.739,5.599,1,"HighLat",12
3,6,0.154,25,5.599,65,33.997,0.89,0.745,5.599,1,"HighLat",12
3,7,0,25,5.599,66,57.139,0.89,0.752,5.599,1,"HighLat",12
3,8,0.098,25,5.599,67,34.57,0.89,0.758,5.599,1,"HighLat",12
3,9,0,25,5.599,68,58.094,0.89,0.764,5.599,1,"HighLat",12
3,10,0.377,25,5.599,69,35.143,0.89,0.771,5.599,1,"HighLat",12
3,11,0.076,25,5.599,70,35.429,0.89,0.777,5.599,1,"HighLat",12
3,12,0,25,5.599,71,59.526,0.89,0.783,5.599,1,"HighLat",12
3,13,0.047,25,5.599,72,36.001,0.89,0.789,5.599,1,"HighLat",12
3,14,0.02,25,5.599,73,36.287,0.89,0.796,5.599,1,"HighLat",12
3,15,0,25,5.599,74,60.953,0.89,0.802,5.599,1,"HighLat",12
3,16,0.122,25,5.599,75,36.856,0.89,0.808,5.599,1,"HighLat",12
3,17,0,25,5.599,76,61.899,0.89,0.814,5.599,1,"HighLat",12
3,18,0,25,5.599,77,62.37,0.89,0.821,5.599,1,"HighLat",12
3,19,0.261,25,5.599,78,37.703,0.89,0.827,5.599,1,"HighLat",12
3,20,0.117,25,5.599,79,37.984,0.89,0.833,5.599,1,"HighLat",12
3,21,0,25,5.599,80,63.772,0.89,0.839,5.599,1,"HighLat",12
3,22,0.213,25,5.599,81,38.541,0.89,0.845,5.599,1,"HighLat",12
3,23,0,25,5.599,82,64.696,0.89,0.851,5.599,1,"HighLat",12
3,24,0,25,5.599,83,65.154,0.89,0.857,5.599,1,"HighLat",12
3,25,0,25,5.599,84,65.61,0.89,0.863,5.599,1,"HighLat",12
3,26,0.033,25,5.599,85,39.638,0.89,0.869,5.599,1,"HighLat",12
3,27,0,25,5.599,86,66.513,0.89,0.875,5.599,1,"HighLat",12
3,28,0,25,5.599,87,66.96,0.89,0.881,5.599,1,"HighLat",12
3,29,0,25,5.599,88,67.404,0.89,0.887,5.599,1,"HighLat",12
3,30,0.224,25,5.599,89,40.707,0.89,0.893,5.599,1,"HighLat",12
3,31,0.125,25,5.599,90,40.969,0.89,0.898,5.599,1,"HighLat",12
4,1,0.075,25,8.455,91,41.229,1.186,0.909,8.455,1,"HighLat",12
4,2,0,25,8.455,92,69.144,1.186,0.915,8.455,1,"HighLat",12
4,3,0.007,25,8.455,93,41.742,1.186,0.92,8.455,1,"HighLat",12
4,4,0,25,8.455,94,69.991,1.186,0.926,8.455,1,"HighLat",12
4,5,0,25,8.455,95,70.408,1.186,0.931,8.455,1,"HighLat",12
4,6,0,25,8.455,96,70.821,1.186,0.937,8.455,1,"HighLat",12
4,7,0,25,8.455,97,71.23,1.186,0.942,8.455,1,"HighLat",12
4,8,0,25,8.455,98,71.634,1.186,0.948,8.455,1,"HighLat",12
4,9,0,25,8.455,99,72.034,1.186,0.953,8.455,1,"HighLat",12
4,10,0,25,8.455,100,72.429,1.186,0.958,8.455,1,"HighLat",12
4,11,0,25,8.455,101,72.819,1.186,0.963,8.455,1,"HighLat",12
4,12,0.201,25,8.455,102,43.923,1.186,0.968,8.455,1,"HighLat",12
4,13,0.011,25,8.455,103,44.151,1.186,0.974,8.455,1,"HighLat",12
4,14,0.162,25,8.455,104,44.376,1.186,0.978,8.455,1,"HighLat",12
4,15,0,25,8.455,105,74.331,1.186,0.983,8.455,1,"HighLat",12
4,16,0,25,8.455,106,74.696,1.186,0.988,8.455,1,"HighLat",12
4,17,0,25,8.455,107,75.056,1.186,0.993,8.455,1,"HighLat",12
4,18,0,25,8.455,108,75.411,1.186,0.998,8.455,1,"HighLat",12
4,19,0.033,25,8.455,109,45.456,1.186,1.002,8.455,1,"HighLat",12
4,20,0.248,25,8.455,110,45.663,1.186,1.007,8.455,1,"HighLat",12
4,21,0.67,25,8.455,111,45.866,1.186,1.011,8.455,1,"HighLat",12
4,22,0,25,8.455,112,76.776,1.186,1.016,8.455,1,"HighLat",12
4,23,0.091,25,8.455,113,46.262,1.186,1.02,8.455,1,"HighLat",12
4,24,0.156,25,8.455,114,46.455,1.186,1.024,8.455,1,"HighLat",12
4,25,0,25,8.455,115,77.741,1.186,1.028,8.455,1,"HighLat",12
4,26,0.093,25,8.455,116,46.831,1.186,1.033,8.455,1,"HighLat",12
4,27,0.093,25,8.455,117,47.013,1.186,1.037,8.455,1,"HighLat",12
4,28,0.061,25,8.455,118,47.193,1.186,1.041,8.455,1,"HighLat",12
4,29,0.204,25,8.455,119,47.369,1.186,1.044,8.455,1,"HighLat",12
4,30,0.028,25,8.455,120,47.541,1.186,1.048,8.455,1,"HighLat",12
5,1,0,25,10.556,121,79.516,1.403,1.056,10.556,1,"HighLat",12
5,2,0.046,25,10.556,122,47.875,1.403,1.06,10.556,1,"HighLat",12
5,3,0,25,10.556,123,80.062,1.403,1.063,10.556,1,"HighLat",12
5,4,0,25,10.556,124,80.326,1.403,1.067,10.556,1,"HighLat",12
5,5,0,25,10.556,125,80.584,1.403,1.07,10.556,1,"HighLat",12
5,6,0.349,25,10.556,126,48.501,1.403,1.073,10.556,1,"HighLat",12
5,7,0,25,10.556,127,81.082,1.403,1.077,10.556,1,"HighLat",12
5,8,0,25,10.556,128,81.322,1.403,1.08,10.556,1,"HighLat",12
5,9,0.115,25,10.556,129,48.934,1.403,1.083,10.556,1,"HighLat",12
5,10,0.069,25,10.556,130,49.071,1.403,1.086,10.556,1,"HighLat",12
5,11,0.166,25,10.556,131,49.205,1.403,1.089,10.556,1,"HighLat",12
5,12,0.481,25,10.556,132,49.335,1.403,1.092,10.556,1,"HighLat",12
5,13,0,25,10.556,133,82.435,1.403,1.095,10.556,1,"HighLat",12
5,14,0,25,10.556,134,82.64,1.403,1.097,10.556,1,"HighLat",12
5,15,0,25,10.556,135,82.839,1.403,1.1,10.556,1,"HighLat",12
5,16,0.255,25,10.556,136,49.82,1.403,1.103,10.556,1,"HighLat",12
5,17,0.03,25,10.556,137,49.932,1.403,1.105,10.556,1,"HighLat",12
5,18,0.091,25,10.556,138,50.041,1.403,1.108,10.556,1,"HighLat",12
5,19,0,25,10.556,139,83.577,1.403,1.11,10.556,1,"HighLat",12
5,20,0,25,10.556,140,83.747,1.403,1.112,10.556,1,"HighLat",12
5,21,0.041,25,10.556,141,50.347,1.403,1.114,10.556,1,"HighLat",12
5,22,0.061,25,10.556,142,50.441,1.403,1.116,10.556,1,"HighLat",12
5,23,0,25,10.556,143,84.222,1.403,1.118,10.556,1,"HighLat",12
5,24,0,25,10.556,144,84.368,1.403,1.12,10.556,1,"HighLat",12
5,25,0.217,25,10.556,145,50.706,1.403,1.122,10.556,1,"HighLat",12
5,26,0,25,10.556,146,84.645,1.403,1.124,10.556,1,"HighLat",12
5,27,0.124,25,10.556,147,50.864,1.403,1.126,10.556,1,"HighLat",12
5,28,0.129,25,10.556,148,50.939,1.403,1.127,10.556,1,"HighLat",12
5,29,0.142,25,10.556,149,51.01,1.403,1.129,10.556,1,"HighLat",12
5,30,0,25,10.556,150,85.129,1.403,1.13,10.556,1,"HighLat",12
5,31,0,25,10.556,151,85.236,1.403,1.132,10.556,1,"HighLat",12
6,1,0,25,11.765,152,85.337,1.528,1.136,11.765,1,"HighLat",12
6,2,0,25,11.765,153,85.433,1.528,1.137,11.765,1,"HighLat",12
6,3,0.167,25,11.765,154,51.314,1.528,1.138,11.765,1,"HighLat",12
6,4,0.033,25,11.765,155,51.364,1.528,1.139,11.765,1,"HighLat",12
6,5,0.125,25,11.765,156,51.412,1.528,1.14,11.765,1,"HighLat",12
6,6,0,25,11.765,157,85.76,1.528,1.141,11.765,1,"HighLat",12
6,7,0.046,25,11.765,158,51.497,1.528,1.142,11.765,1,"HighLat",12
6,8,0.194,25,11.765,159,51.534,1.528,1.143,11.765,1,"HighLat",12
6,9,0.181,25,11.765,160,51.568,1.528,1.144,11.765,1,"HighLat",12
6,10,0.335,25,11.765,161,51.599,1.528,1.144,11.765,1,"HighLat",12
6,11,0,25,11.765,162,86.045,1.528,1.145,11.765,1,"HighLat",12
6,12,0.05,25,11.765,163,51.651,1.528,1.146,11.765,1,"HighLat",12
6,13,0,25,11.765,164,86.121,1.528,1.146,11.765,1,"HighLat",12
6,14,0.42,25,11.765,165,51.69,1.528,1.146,11.765,1,"HighLat",12
6,15,0.127,25,11.765,166,51.705,1.528,1.147,11.765,1,"HighLat",12
6,16,0.135,25,11.765,167,51.716,1.528,1.147,11.765,1,"HighLat",12
6,17,0.068,25,11.765,168,51.725,1.528,1.147,11.765,1,"HighLat",12
6,18,0,25,11.765,169,86.216,1.528,1.147,11.765,1,"HighLat",12
6,19,0,25,11.765,170,86.219,1.528,1.147,11.765,1,"HighLat",12
6,20,0,25,11.765,171,86.216,1.528,1.147,11.765,1,"HighLat",12
6,21,0,25,11.765,172,86.209,1.528,1.147,11.765,1,"HighLat",12
6,22,0,25,11.765,173,86.195,1.528,1.147,11.765,1,"HighLat",12
6,23,0.072,25,11.765,174,51.706,1.528,1.147,11.765,1,"HighLat",12
6,24,0,25,11.765,175,86.153,1.528,1.146,11.765,1,"HighLat",12
6,25,0.033,25,11.765,176,51.674,1.528,1.146,11.765,1,"HighLat",12
6,26,0,25,11.765,177,86.09,1.528,1.146,11.765,1,"HighLat",12
6,27,0.449,25,11.765,178,51.63,1.528,1.145,11.765,1,"HighLat",12
6,28,0,25,11.765,179,86.005,1.528,1.145,11.765,1,"HighLat",12
6,29,0,25,11.765,180,85.954,1.528,1.144,11.765,1,"HighLat",12
6,30,0,25,11.765,181,85.899,1.528,1.143,11.765,1,"HighLat",12
7,1,0,25,12,182,85.838,1.552,1.143,12,1,"HighLat",12
7,2,0,25,12,183,85.771,1.552,1.142,12,1,"HighLat",12
7,3,0.208,25,12,184,51.42,1.552,1.141,12,1,"HighLat",12
7,4,0.19,25,12,185,51.374,1.552,1.14,12,1,"HighLat",12
7,5,0,25,12,186,85.541,1.552,1.139,12,1,"HighLat",12
7,6,0.529,25,12,187,51.272,1.552,1.138,12,1,"HighLat",12
7,7,0.186,25,12,188,51.216,1.552,1.136,12,1,"HighLat",12
7,8,0,25,12,189,85.262,1.552,1.135,12,1,"HighLat",12
7,9,0.029,25,12,190,51.095,1.552,1.134,12,1,"HighLat",12
7,10,0,25,12,191,85.049,1.552,1.132,12,1,"HighLat",12
7,11,0.149,25,12,192,50.961,1.552,1.131,12,1,"HighLat",12
7,12,0,25,12,193,84.815,1.552,1.129,12,1,"HighLat",12
7,13,0,25,12,194,84.69,1.552,1.127,12,1,"HighLat",12
7,14,0,25,12,195,84.56,1.552,1.126,12,1,"HighLat",12
7,15,0,25,12,196,84.424,1.552,1.124,12,1,"HighLat",12
7,16,0.066,25,12,197,50.57,1.552,1.122,12,1,"HighLat",12
7,17,0.194,25,12,198,50.482,1.552,1.12,12,1,"HighLat",12
7,18,0.191,25,12,199,50.391,1.552,1.118,12,1,"HighLat",12
7,19,0,25,12,200,83.827,1.552,1.116,12,1,"HighLat",12
7,20,0.073,25,12,201,50.199,1.552,1.114,12,1,"HighLat",12
7,21,0.247,25,12,202,50.098,1.552,1.112,12,1,"HighLat",12
7,22,0,25,12,203,83.322,1.552,1.109,12,1,"HighLat",12
7,23,0,25,12,204,83.143,1.552,1.107,12,1,"HighLat",12
7,24,0,25,12,205,82.959,1.552,1.104,12,1,"HighLat",12
7,25,0,25,12,206,82.769,1.552,1.102,12,1,"HighLat",12
7,26,0,25,12,207,82.573,1.552,1.099,12,1,"HighLat",12
7,27,0,25,12,208,82.372,1.552,1.097,12,1,"HighLat",12
7,28,0.164,25,12,209,49.299,1.552,1.094,12,1,"HighLat",12
7,29,0.098,25,12,210,49.172,1.552,1.091,12,1,"HighLat",12
7,30,0.065,25,12,211,49.042,1.552,1.088,12,1,"HighLat",12
7,31,0.096,25,12,212,48.908,1.552,1.085,12,1,"HighLat",12
8,1,0.13,25,11.247,213,48.771,1.474,1.081,11.247,1,"HighLat",12
8,2,0.139,25,11.247,214,48.631,1.474,1.078,11.247,1,"HighLat",12
8,3,0.662,25,11.247,215,48.487,1.474,1.074,11.247,1,"HighLat",12
8,4,0.069,25,11.247,216,48.34,1.474,1.071,11.247,1,"HighLat",12
8,5,0.363,25,11.247,217,48.19,1.474,1.068,11.247,1,"HighLat",12
8,6,0.061,25,11.247,218,48.037,1.474,1.064,11.247,1,"HighLat",12
8,7,0.054,25,11.247,219,47.88,1.474,1.061,11.247,1,"HighLat",12
8,8,0,25,11.247,220,79.534,1.474,1.057,11.247,1,"HighLat",12
8,9,0,25,11.247,221,79.262,1.474,1.054,11.247,1,"HighLat",12
8,10,0.133,25,11.247,222,47.391,1.474,1.05,11.247,1,"HighLat",12
8,11,0,25,11.247,223,78.701,1.474,1.046,11.247,1,"HighLat",12
8,12,0.137,25,11.247,224,47.048,1.474,1.043,11.247,1,"HighLat",12
8,13,0.296,25,11.247,225,46.872,1.474,1.039,11.247,1,"HighLat",12
8,14,0,25,11.247,226,77.82,1.474,1.035,11.247,1,"HighLat",12
8,15,0.009,25,11.247,227,46.51,1.474,1.031,11.247,1,"HighLat",12
8,16,0,25,11.247,228,77.207,1.474,1.027,11.247,1,"HighLat",12
8,17,0,25,11.247,229,76.892,1.474,1.022,11.247,1,"HighLat",12
8,18,0,25,11.247,230,76.572,1.474,1.018,11.247,1,"HighLat",12
8,19,0,25,11.247,231,76.246,1.474,1.014,11.247,1,"HighLat",12
8,20,0.085,25,11.247,232,45.549,1.474,1.009,11.247,1,"HighLat",12
8,21,0,25,11.247,233,75.58,1.474,1.005,11.247,1,"HighLat",12
8,22,0.115,25,11.247,234,45.144,1.474,1,11.247,1,"HighLat",12
8,23,0,25,11.247,235,74.894,1.474,0.996,11.247,1,"HighLat",12
8,24,0,25,11.247,236,74.543,1.474,0.991,11.247,1,"HighLat",12
8,25,0,25,11.247,237,74.188,1.474,0.986,11.247,1,"HighLat",12
8,26,0.097,25,11.247,238,44.296,1.474,0.982,11.247,1,"HighLat",12
8,27,0.113,25,11.247,239,44.077,1.474,0.977,11.247,1,"HighLat",12
8,28,0,25,11.247,240,73.092,1.474,0.972,11.247,1,"HighLat",12
8,29,0,25,11.247,241,72.718,1.474,0.967,11.247,1,"HighLat",12
8,30,0,25,11.247,242,72.338,1.474,0.962,11.247,1,"HighLat",12
8,31,0,25,11.247,243,71.955,1.474,0.957,11.247,1,"HighLat",12
9,1,0,25,9.556,244,71.566,1.299,0.949,9.556,1,"HighLat",12
9,2,0,25,9.556,245,71.174,1.299,0.944,9.556,1,"HighLat",12
9,3,0,25,9.556,246,70.777,1.299,0.938,9.556,1,"HighLat",12
9,4,0.165,25,9.556,247,42.226,1.299,0.933,9.556,1,"HighLat",12
9,5,0.045,25,9.556,248,41.983,1.299,0.928,9.556,1,"HighLat",12
9,6,0,25,9.556,249,69.562,1.299,0.922,9.556,1,"HighLat",12
9,7,0.108,25,9.556,250,41.49,1.299,0.917,9.556,1,"HighLat",12
9,8,0.663,25,9.556,251,41.24,1.299,0.911,9.556,1,"HighLat",12
9,9,0.077,25,9.556,252,40.987,1.299,0.906,9.556,1,"HighLat",12
9,10,0.05,25,9.556,253,40.733,1.299,0.9,9.556,1,"HighLat",12
9,11,0.128,25,9.556,254,40.477,1.299,0.894,9.556,1,"HighLat",12
9,12,0.064,25,9.556,255,40.218,1.299,0.889,9.556,1,"HighLat",12
9,13,0,25,9.556,256,66.597,1.299,0.883,9.556,1,"HighLat",12
9,14,0,25,9.556,257,66.16,1.299,0.877,9.556,1,"HighLat",12
9,15,0.594,25,9.556,258,39.432,1.299,0.871,9.556,1,"HighLat",12
9,16,0,25,9.556,259,65.277,1.299,0.865,9.556,1,"HighLat",12
9,17,0,25,9.556,260,64.832,1.299,0.859,9.556,1,"HighLat",12
9,18,0,25,9.556,261,64.384,1.299,0.853,9.556,1,"HighLat",12
9,19,0,25,9.556,262,63.934,1.299,0.848,9.556,1,"HighLat",12
9,20,0,25,9.556,263,63.481,1.299,0.842,9.556,1,"HighLat",12
9,21,0,25,9.556,264,63.027,1.299,0.836,9.556,1,"HighLat",12
9,22,0.125,25,9.556,265,37.542,1.299,0.829,9.556,1,"HighLat",12
9,23,0,25,9.556,266,62.112,1.299,0.823,9.556,1,"HighLat",12
9,24,0.05,25,9.556,267,36.991,1.299,0.817,9.556,1,"HighLat",12
9,25,0.091,25,9.556,268,36.715,1.299,0.811,9.556,1,"HighLat",12
9,26,0.071,25,9.556,269,36.437,1.299,0.805,9.556,1,"HighLat",12
9,27,0.091,25,9.556,270,36.159,1.299,0.799,9.556,1,"HighLat",12
9,28,0.047,25,9.556,271,35.88,1.299,0.793,9.556,1,"HighLat",12
9,29,0,25,9.556,272,59.335,1.299,0.787,9.556,1,"HighLat",12
9,30,0,25,9.556,273,58.868,1.299,0.78,9.556,1,"HighLat",12
10,1,0.04,25,7.038,274,35.041,1.039,0.771,7.038,1,"HighLat",12
10,2,0,25,7.038,275,57.935,1.039,0.764,7.038,1,"HighLat",12
10,3,0.087,25,7.038,276,34.481,1.039,0.758,7.038,1,"HighLat",12
10,4,0,25,7.038,277,57.002,1.039,0.752,7.038,1,"HighLat",12
10,5,0,25,7.038,278,56.535,1.039,0.746,7.038,1,"HighLat",12
10,6,0.108,25,7.038,279,33.641,1.039,0.74,7.038,1,"HighLat",12
10,7,0,25,7.038,280,55.604,1.039,0.734,7.038,1,"HighLat",12
10,8,0,25,7.038,281,55.139,1.039,0.727,7.038,1,"HighLat",12
10,9,0,25,7.038,282,54.675,1.039,0.721,7.038,1,"HighLat",12
10,10,0.232,25,7.038,283,32.528,1.039,0.715,7.038,1,"HighLat",12
10,11,0.293,25,7.038,284,32.251,1.039,0.709,7.038,1,"HighLat",12
10,12,0.086,25,7.038,285,31.975,1.039,0.703,7.038,1,"HighLat",12
10,13,0,25,7.038,286,52.835,1.039,0.697,7.038,1,"HighLat",12
10,14,0,25,7.038,287,52.379,1.039,0.691,7.038,1,"HighLat",12
10,15,0,25,7.038,288,51.925,1.039,0.685,7.038,1,"HighLat",12
10,16,0.11,25,7.038,289,30.884,1.039,0.679,7.038,1,"HighLat",12
10,17,0,25,7.038,290,51.025,1.039,0.673,7.038,1,"HighLat",12
10,18,0,25,7.038,291,50.579,1.039,0.667,7.038,1,"HighLat",12
10,19,0.145,25,7.038,292,30.081,1.039,0.661,7.038,1,"HighLat",12
10,20,0.051,25,7.038,293,29.817,1.039,0.656,7.038,1,"HighLat",12
10,21,0,25,7.038,294,49.258,1.039,0.65,7.038,1,"HighLat",12
10,22,0,25,7.038,295,48.824,1.039,0.644,7.038,1,"HighLat",12
10,23,0.079,25,7.038,296,29.037,1.039,0.639,7.038,1,"HighLat",12
10,24,0,25,7.038,297,47.968,1.039,0.633,7.038,1,"HighLat",12
10,25,0.764,25,7.038,298,28.527,1.039,0.627,7.038,1,"HighLat",12
10,26,0,25,7.038,299,47.127,1.039,0.622,7.038,1,"HighLat",12
10,27,0.027,25,7.038,300,28.028,1.039,0.616,7.038,1,"HighLat",12
10,28,0.028,25,7.038,301,27.782,1.039,0.611,7.038,1,"HighLat",12
10,29,0,25,7.038,302,45.899,1.039,0.606,7.038,1,"HighLat",12
10,30,0.068,25,7.038,303,27.299,1.039,0.6,7.038,1,"HighLat",12
10,31,0.09,25,7.038,304,27.062,1.039,0.595,7.038,1,"HighLat",12
11,1,0.44,25,3.858,305,26.828,0.71,0.586,3.858,1,"HighLat",12
11,2,0,25,3.858,306,44.328,0.71,0.581,3.858,1,"HighLat",12
11,3,0,25,3.858,307,43.949,0.71,0.576,3.858,1,"HighLat",12
11,4,0.202,25,3.858,308,26.145,0.71,0.571,3.858,1,"HighLat",12
11,5,0,25,3.858,309,43.207,0.71,0.566,3.858,1,"HighLat",12
11,6,0,25,3.858,310,42.844,0.71,0.561,3.858,1,"HighLat",12
11,7,0.055,25,3.858,311,25.493,0.71,0.557,3.858,1,"HighLat",12
11,8,0.024,25,3.858,312,25.283,0.71,0.552,3.858,1,"HighLat",12
11,9,0.031,25,3.858,313,25.076,0.71,0.548,3.858,1,"HighLat",12
11,10,0,25,3.858,314,41.456,0.71,0.543,3.858,1,"HighLat",12
11,11,0.194,25,3.858,315,24.675,0.71,0.539,3.858,1,"HighLat",12
11,12,0.02,25,3.858,316,24.481,0.71,0.535,3.858,1,"HighLat",12
11,13,0,25,3.858,317,40.484,0.71,0.531,3.858,1,"HighLat",12
11,14,0.267,25,3.858,318,24.104,0.71,0.526,3.858,1,"HighLat",12
11,15,0.023,25,3.858,319,23.922,0.71,0.522,3.858,1,"HighLat",12
11,16,0.039,25,3.858,320,23.744,0.71,0.519,3.858,1,"HighLat",12
11,17,0,25,3.858,321,39.285,0.71,0.515,3.858,1,"HighLat",12
11,18,0,25,3.858,322,39.004,0.71,0.511,3.858,1,"HighLat",12
11,19,0.139,25,3.858,323,23.238,0.71,0.508,3.858,1,"HighLat",12
11,20,0,25,3.858,324,38.463,0.71,0.504,3.858,1,"HighLat",12
11,21,0.083,25,3.858,325,22.923,0.71,0.501,3.858,1,"HighLat",12
11,22,0.205,25,3.858,326,22.772,0.71,0.497,3.858,1,"HighLat",12
11,23,0.08,25,3.858,327,22.626,0.71,0.494,3.858,1,"HighLat",12
11,24,0,25,3.858,328,37.476,0.71,0.491,3.858,1,"HighLat",12
11,25,0.191,25,3.858,329,22.349,0.71,0.488,3.858,1,"HighLat",12
11,26,0,25,3.858,330,37.03,0.71,0.485,3.858,1,"HighLat",12
11,27,0,25,3.858,331,36.819,0.71,0.482,3.858,1,"HighLat",12
11,28,0,25,3.858,332,36.617,0.71,0.48,3.858,1,"HighLat",12
11,29,0,25,3.858,333,36.423,0.71,0.477,3.858,1,"HighLat",12
11,30,0,25,3.858,334,36.237,0.71,0.475,3.858,1,"HighLat",12
12,1,0,25,0.226,335,36.06,0.334,0.468,0.226,1,"HighLat",12
12,2,0,25,0.226,336,35.892,0.334,0.466,0.226,1,"HighLat",12
12,3,0,25,0.226,337,35.732,0.334,0.464,0.226,1,"HighLat",12
12,4,0.018,25,0.226,338,21.349,0.334,0.462,0.226,1,"HighLat",12
12,5,0,25,0.226,339,35.439,0.334,0.46,0.226,1,"HighLat",12
12,6,0,25,0.226,340,35.305,0.334,0.459,0.226,1,"HighLat",12
12,7,0.072,25,0.226,341,21.108,0.334,0.457,0.226,1,"HighLat",12
12,8,0.167,25,0.226,342,21.039,0.334,0.455,0.226,1,"HighLat",12
